



('0.17', ', ', '05/06/2023 16:52:04')
('0.19', ', ', '05/06/2023 16:52:05')
('0.20', ', ', '05/06/2023 16:52:06')
('0.18', ', ', '05/06/2023 16:52:07')
('0.19', ', ', '05/06/2023 16:52:07')
('0.19', ', ', '05/06/2023 16:52:08')
('0.19', ', ', '05/06/2023 16:52:09')
('0.19', ', ', '05/06/2023 16:52:10')
('0.20', ', ', '05/06/2023 16:52:11')
('0.18', ', ', '05/06/2023 16:52:11')
('0.19', ', ', '05/06/2023 16:52:12')
('0.18', ', ', '05/06/2023 16:52:13')
('0.16', ', ', '05/06/2023 16:52:14')
('0.20', ', ', '05/06/2023 16:52:14')
('0.20', ', ', '05/06/2023 16:52:15')
('0.19', ', ', '05/06/2023 16:52:16')
('0.19', ', ', '05/06/2023 16:52:17')
('0.19', ', ', '05/06/2023 16:52:18')
('0.19', ', ', '05/06/2023 16:52:18')
('0.18', ', ', '05/06/2023 16:52:19')
('0.21', ', ', '05/06/2023 16:52:20')
('0.20', ', ', '05/06/2023 16:52:21')
('0.19', ', ', '05/06/2023 16:52:21')
('0.19', ', ', '05/06/2023 16:52:22')
('0.19', ', ', '05/06/2023 16:52:23')
('0.19', ', ', '05/06/2023 16:52:24')
('0.19', ', ', '05/06/2023 16:52:24')
('0.18', ', ', '05/06/2023 16:52:25')
('0.19', ', ', '05/06/2023 16:52:26')
('0.72', ', ', '05/06/2023 16:52:27')
('0.44', ', ', '05/06/2023 16:52:28')
('0.18', ', ', '05/06/2023 16:52:28')
('0.20', ', ', '05/06/2023 16:52:29')
('0.19', ', ', '05/06/2023 16:52:30')
('0.20', ', ', '05/06/2023 16:52:31')
('0.19', ', ', '05/06/2023 16:52:31')
('0.19', ', ', '05/06/2023 16:52:32')
('0.20', ', ', '05/06/2023 16:52:33')
('0.19', ', ', '05/06/2023 16:52:34')
('0.17', ', ', '05/06/2023 16:52:35')
('0.19', ', ', '05/06/2023 16:52:35')
('0.19', ', ', '05/06/2023 16:52:36')
('0.18', ', ', '05/06/2023 16:52:37')
('0.19', ', ', '05/06/2023 16:52:38')
('0.19', ', ', '05/06/2023 16:52:38')
('0.19', ', ', '05/06/2023 16:52:39')
('0.19', ', ', '05/06/2023 16:52:40')
('0.19', ', ', '05/06/2023 16:52:41')
('0.19', ', ', '05/06/2023 16:52:42')
('0.24', ', ', '05/06/2023 16:52:42')
('0.24', ', ', '05/06/2023 16:52:43')
('0.23', ', ', '05/06/2023 16:52:44')
('0.23', ', ', '05/06/2023 16:52:45')
('0.22', ', ', '05/06/2023 16:52:45')
('0.24', ', ', '05/06/2023 16:52:46')
('0.25', ', ', '05/06/2023 16:52:47')
('0.24', ', ', '05/06/2023 16:52:48')
('0.24', ', ', '05/06/2023 16:52:49')
('0.25', ', ', '05/06/2023 16:52:49')
('0.26', ', ', '05/06/2023 16:52:50')
('0.26', ', ', '05/06/2023 16:52:51')
('0.28', ', ', '05/06/2023 16:52:52')
('0.28', ', ', '05/06/2023 16:52:52')
('0.28', ', ', '05/06/2023 16:52:53')
('0.29', ', ', '05/06/2023 16:52:54')
('0.27', ', ', '05/06/2023 16:52:55')
('0.28', ', ', '05/06/2023 16:52:55')
('0.27', ', ', '05/06/2023 16:52:56')
('0.27', ', ', '05/06/2023 16:52:57')
('0.28', ', ', '05/06/2023 16:52:58')
('1.25', ', ', '05/06/2023 16:52:59')
('0.48', ', ', '05/06/2023 16:52:59')
('0.53', ', ', '05/06/2023 16:53:00')
('0.29', ', ', '05/06/2023 16:53:01')
('0.28', ', ', '05/06/2023 16:53:02')
('0.28', ', ', '05/06/2023 16:53:02')
('0.25', ', ', '05/06/2023 16:53:03')
('0.23', ', ', '05/06/2023 16:53:04')
('0.23', ', ', '05/06/2023 16:53:05')
('0.22', ', ', '05/06/2023 16:53:06')
('0.23', ', ', '05/06/2023 16:53:06')
('0.22', ', ', '05/06/2023 16:53:07')
('0.23', ', ', '05/06/2023 16:53:08')
('0.24', ', ', '05/06/2023 16:53:09')
('0.23', ', ', '05/06/2023 16:53:09')
('0.23', ', ', '05/06/2023 16:53:10')
('0.24', ', ', '05/06/2023 16:53:11')
('0.24', ', ', '05/06/2023 16:53:12')
('0.24', ', ', '05/06/2023 16:53:13')
('0.21', ', ', '05/06/2023 16:53:13')
('0.22', ', ', '05/06/2023 16:53:14')
('0.23', ', ', '05/06/2023 16:53:15')
('0.22', ', ', '05/06/2023 16:53:16')
('0.24', ', ', '05/06/2023 16:53:16')
('0.24', ', ', '05/06/2023 16:53:17')
('0.24', ', ', '05/06/2023 16:53:18')
('0.24', ', ', '05/06/2023 16:53:19')
('0.24', ', ', '05/06/2023 16:53:20')
('0.23', ', ', '05/06/2023 16:53:20')
('0.24', ', ', '05/06/2023 16:53:21')
('0.22', ', ', '05/06/2023 16:53:22')
